"sucursal","total_monto_trx","total_transacciones"
37,29493062872,526106
34,28845648379,494397
68,21186958305,412144
12,19938539905,310306
28,19016831703,422169
16,14726629081,367583
74,14633213595,305668
45,14041794174,296481
4,13904964553,278342
78,13289558633,284601
32,12889259132,312811
26,12225941226,262801
2,10969994571,317254
41,10286391585,240006
71,9948482661,277158
72,9727159285,240775
98,9682351972,245199
57,8793170619,226114
96,8515104951,182550
22,8418919439,229856
18,8289094110,238120
88,8261470852,203774
46,8142141799,227566
99,8080312015,205729
49,8078492163,184190
48,8020787061,188040
10,7866052432,160219
76,7193408357,177652
3,6929377373,198182
19,6894988492,185292
11,6684447150,172929
97,6364626246,157532
84,6127028289,157438
51,5505082943,124569
69,5264060574,142039
25,5087562192,158201
79,5078055560,134576
23,5074793046,146934
14,4996604157,143826
21,4293259111,120657
85,3791860043,129189
7,3564518567,104912
29,1203702332,30710
58,206072912,16362
94,169711465,15108
77,163627364,12223
55,107795093,6465
67,2053129,10
